,X,log2FoldChange,AveExpr,t,pvalue,padj,B
63,ASPN,2.000867557,4.609369701,5.561602024,3.50E-05,0.00785,2.44
64,IGKV1-17,3.287677758,2.758087554,5.554299358,3.55E-05,0.00787325,2.464808962
65,IGHA1,2.80342152,8.759872906,5.531956635,3.72E-05,0.00799,2.42
66,FOLR2,1.222055982,4.338970847,5.526687405,3.76E-05,0.007993534,2.382043953
67,IGLV3-21,2.746117073,4.366918081,5.514819346,3.85E-05,0.00799,2.36
68,IGLV3-19,3.079772512,4.246220111,5.510740301,3.88E-05,0.00799,2.36
69,RGS1,1.947705991,6.457800279,5.505889785,3.92E-05,0.00799,2.31
70,IGLV3-9,2.487911868,1.590458566,5.497981646,3.98E-05,0.007993534,2.238860904
71,FHL2,1.431107057,4.291363433,5.485418405,4.08E-05,0.00808958,2.3032703
72,IGHV4-55,3.476759981,0.69606752,5.47780332,4.15E-05,0.008129199,1.990682267
73,FNDC1,3.016941283,2.366389478,5.458086251,4.32E-05,0.00825,2.26
74,IGLV1-51,2.799071328,3.583100504,5.434591549,4.53E-05,0.00833,2.24
75,IGKV2-30,2.615393527,3.043344779,5.431112007,4.56E-05,0.00833,2.24
76,IL1RN,1.776545137,3.969045935,5.431012141,4.56E-05,0.008327506,2.213955595
77,KCNN4,1.465255903,2.869024353,5.369113406,5.18E-05,0.00927,2.12
78,IGHV1-18,3.117934796,4.248970801,5.340972768,5.48E-05,0.009631433,2.019546059
79,IGHV3-21,3.418334029,3.701305182,5.335340914,5.55E-05,0.009651194,2.040011729
80,PCSK1N,2.236646151,1.065517374,5.321311426,5.71E-05,0.00965,1.83
81,IGHV1-24,3.691559718,2.386274424,5.316474708,5.77E-05,0.00965,2
82,IGLV3-10,2.929848215,1.930370599,5.31311288,5.81E-05,0.00965,1.96
83,DERL3,1.645677978,2.862207921,5.290342776,6.08E-05,0.01,1.97
84,CH17-60O17.7,4.583664912,0.654838172,5.285103844,6.15E-05,0.01,1.66
85,HS6ST2,2.255021487,1.841629573,5.269216323,6.35E-05,0.0101,1.87
86,NHS,1.137387084,3.632653979,5.264469181,6.42E-05,0.010064933,1.904100528
87,PIM2,1.495242678,5.08151724,5.262911395,6.44E-05,0.010064933,1.822495152
88,IGKV3-11,3.24178404,4.628341655,5.243551352,6.70E-05,0.0103,1.8
89,OGN,1.51642268,4.668529383,5.214174795,7.12E-05,0.010685063,1.741473158
90,IGHV6-1,2.883015424,1.390930182,5.186727822,7.53E-05,0.011128047,1.656545553
91,PCDH7,1.395775617,4.91083206,5.164383894,7.89E-05,0.0113,1.63
92,IGHV3-15,2.738026107,2.773741571,5.164322784,7.89E-05,0.0113,1.73
93,IGHV1-58,3.122895692,0.027548363,5.145284507,8.21E-05,0.0116,1.25
94,BOC,1.098138701,4.453392828,5.106379317,8.90E-05,0.012256745,1.536200746
95,IGHV2-70,3.84156986,1.915124823,5.092201563,9.16E-05,0.012448868,1.5490053
96,SMOC2,1.333972193,3.992595839,5.031685347,0.000103904,0.013340376,1.41749575
97,IGHV1-2,3.779462682,3.199199499,5.031667243,0.000103908,0.013340376,1.464719639
98,COL17A1,2.592426423,3.878889718,5.000240209,0.000110945,0.013677843,1.362496393
99,CXCL12,1.240899839,5.56104457,4.980336764,0.000115653,0.014042186,1.237286814
100,IGLC3,2.848318269,6.640957797,4.980098589,0.00011571,0.014,1.25
101,IGKV1-16,3.379114071,2.184397747,4.961698537,0.000120246,0.014349384,1.323032268
102,SSC5D,1.747670948,3.89426632,4.94722631,0.000123942,0.014693327,1.254512741
103,IGLV1-44,3.304481748,3.244533085,4.942049939,0.000125292,0.014693327,1.285930529
104,TNFRSF21,1.054992384,5.701467338,4.923132469,0.000130354,0.0151,1.12
105,IGHG3,3.151322944,6.066411335,4.884957968,0.000141217,0.0159,1.04
106,SNAP25,1.944936168,1.317382498,4.855467703,0.00015024,0.016397869,1.051615346
107,IGKV1-6,2.622882768,1.32809479,4.844834588,0.000153636,0.016532291,1.033728037
108,MFSD1P1,1.496743122,0.865296738,4.841488502,0.000154721,0.0166,0.955
109,PRDM1,1.165316686,5.082392421,4.820451978,0.000161723,0.016913678,0.919385836
110,PDE7B,1.195404389,3.671080275,4.807219045,0.000166293,0.017198373,0.988952089
111,ZMAT3,1.11997723,5.492791876,4.792399501,0.000171567,0.017296073,0.85099126
112,IGHV3-30,3.18061107,4.44079375,4.792281878,0.00017161,0.0173,0.897
113,RUNX2,1.124512157,3.850905893,4.783526454,0.000174807,0.0173,0.926
114,ALDH1A3,2.076238473,5.788696267,4.780607486,0.000175887,0.017296073,0.825017448
115,PDLIM4,1.997460774,3.270566496,4.778866535,0.000176534,0.0173,0.96
116,RNF150,1.042831084,3.705453477,4.776883401,0.000177273,0.017296073,0.924833923
117,IGKV1-39,4.302877117,-0.127217452,4.77118151,0.000179419,0.017296073,0.601933232
118,IL2RA,1.989113202,3.372694509,4.769950107,0.000179885,0.017296073,0.935527768
119,SKAP1,1.084878329,2.250990365,4.766540403,0.000181184,0.0173,0.954
120,IGHV4-28,2.387766923,0.362865302,4.765868685,0.000181441,0.017296073,0.719529199
121,BCL11B,1.203333004,3.403236536,4.764769538,0.000181863,0.0173,0.923
122,IGKV1D-8,2.420188703,-0.08778738,4.746563223,0.00018899,0.0174,0.573
123,CD3E,1.227311508,2.589062874,4.74593369,0.000189241,0.01740824,0.917123186
124,IGHV3-48,2.656951277,2.541361113,4.726215002,0.000197293,0.0174,0.879
125,CDH3,1.992986225,4.656143881,4.691899102,0.000212149,0.018111337,0.675268738
126,CBLN4,1.801530841,0.921313549,4.690115675,0.000212952,0.018111337,0.697162779
127,ANKRD36BP2,1.320026254,5.261391057,4.68908664,0.000213416,0.0181,0.642
128,IGLV1-36,2.626300971,-0.094928111,4.6814891,0.000216878,0.01819415,0.46569305
129,IRF4,1.056569137,3.812799302,4.681290473,0.000216969,0.01819415,0.721526781
130,SFRP1,1.66087874,3.675634701,4.673541219,0.000220561,0.0183,0.718
131,PLTP,1.431197766,6.389084101,4.665419231,0.00022439,0.018386676,0.59666996
132,RHOH,1.149945894,4.082138628,4.662109166,0.00022597,0.018386676,0.658484811
133,IGHV3-33,3.813016505,4.538632348,4.6589709,0.000227478,0.018411891,0.615098222
134,CD69,1.365850029,4.537086768,4.637644229,0.000238005,0.0189,0.571
135,DSC3,3.060684976,2.943352689,4.602732401,0.00025632,0.019799376,0.625392277
136,CILP,1.948791201,3.597887053,4.575140596,0.000271807,0.020568909,0.524053113
137,C1QTNF3,1.016959153,2.694496511,4.560316832,0.000280517,0.0209,0.551
138,MMP11,2.43119564,1.687092599,4.551966749,0.000285548,0.021094312,0.523107841
139,THY1,1.724958736,5.232994818,4.549300321,0.000287174,0.021130568,0.351814373
140,FCGR2B,1.043567921,4.780495918,4.518365515,0.00030674,0.021962598,0.307650761
141,IGF1,1.610447999,6.186994046,4.511341653,0.000311369,0.0222,0.27
142,FLNC,1.729513875,5.510861593,4.508596271,0.000313197,0.022253717,0.260666409
143,IGLV3-25,3.089268402,3.43512696,4.470742515,0.000339549,0.023454946,0.325763388
144,AQP5,1.965779843,4.218161021,4.461134703,0.000346589,0.023561722,0.231793208
145,PTGFRN,1.131412132,5.985063701,4.457691412,0.000349148,0.023630682,0.154527188
146,CH17-262H11.1,5.205789757,1.905868665,4.445135514,0.000358643,0.0236,0.328
147,DUSP4,1.37002551,4.489978322,4.442256496,0.000360857,0.0236,0.169
148,MMP16,1.72792906,2.706661024,4.439782892,0.000362771,0.0236,0.311
149,WNT10A,1.612875098,1.100804785,4.424402131,0.000374901,0.0239,0.24
150,CDR1,1.560551945,5.497913876,4.392749734,0.000401177,0.025135163,0.018473468
151,JSRP1,1.700245601,1.157873548,4.381795046,0.000410701,0.025135163,0.167305095
152,CILP2,1.895888202,0.514694929,4.379158305,0.000413027,0.0251,0.0822
153,CPXM1,2.047162116,2.699047044,4.378322369,0.000413767,0.0251,0.189
154,FBLN2,1.215928741,6.435863077,4.375590111,0.000416196,0.0251,-0.00621
155,TENM4,1.263096763,4.09970302,4.374295795,0.000417352,0.025135163,0.063109637
156,DCLK1,1.191404646,4.878467731,4.367369575,0.000423592,0.0251,-0.013
157,STAT4,1.062512747,3.779765286,4.365481107,0.00042531,0.025135163,0.077127889
158,IGLV7-46,2.276564523,0.744241547,4.360162615,0.000430186,0.0253,0.0818
159,CCDC80,1.27707403,8.259749153,4.354453137,0.000435484,0.0254,0.0332
160,COL9A2,1.405499748,3.219345331,4.323749487,0.000465129,0.026,0.0454
161,ITGB8,1.224147287,5.678322108,4.323355211,0.000465522,0.02600173,-0.128745344
