,log2FoldChange,AveExpr,t,pvalue,padj,B
C16ORF70,-0.012001676,4.473521372,-0.096647235,0.924141762,0.966181233,-6.543406736
RNF224,-0.043743065,-0.258475725,-0.09677187,0.924044259,0.966133554,-5.601794419
PALMD,-0.025044563,5.347840181,-0.096798847,0.924023155,9.66E-01,-6.62E+00
URAHP,-0.035733508,0.626000092,-0.09687634,0.923962532,9.66E-01,-5.76E+00
CACNA1H,-0.0361755,3.507075531,-0.096986641,0.923876244,9.66E-01,-6.37E+00
RP11-8L18.2,-0.035153453,0.281562371,-0.09709022,0.923795216,0.966125606,-5.698941625
PTK2B,-0.01831727,6.4012705,-0.097258066,0.923663915,0.966125606,-6.606263411
KRT17P5,-0.053029698,0.111166247,-0.097497922,0.923476286,9.66E-01,-5.67E+00
BOLA2,-0.022783555,3.123707845,-0.097528535,0.923452339,9.66E-01,-6.28E+00
TMEM5,-0.015552924,4.170776236,-0.09770608,0.923313457,9.66E-01,-6.50E+00
PRSS35,-0.048472547,0.450384926,-0.098196708,0.922929684,0.965836134,-5.730674768
ENPP4,-0.02469928,5.478293204,-0.098691377,0.922542768,9.66E-01,-6.62E+00
AKAP10,-0.013717548,5.338695217,-0.09920511,0.922140964,9.65E-01,-6.62E+00
C2CD4B,-0.057871465,2.266665378,-0.099235054,0.922117545,0.96539063,-6.093222706
TFAP4,-0.017337382,4.306527401,-0.099272734,0.922088075,0.96539063,-6.51885316
SLC35A2,-0.024037007,3.733253457,-0.099292195,0.922072854,9.65E-01,-6.41E+00
COA7,-0.013672392,4.721341106,-0.099383613,0.922001357,9.65E-01,-6.57E+00
KRT8P46,-0.019064541,2.145361749,-0.099559136,0.921864082,0.96539063,-6.068704574
LINC00238,-0.049445072,-0.034989837,-0.099812545,0.9216659,0.965327579,-5.640931303
RP11-307N16.6,-0.088876701,0.97848626,-0.10029605,0.921287781,0.965094442,-5.83471046
ERBIN,-0.019115546,7.334738786,-0.100759508,0.920925358,0.96482337,-6.539794513
NICN1,-0.021513798,3.509863809,-0.101243255,0.920547089,9.65E-01,-6.37E+00
SYNCRIP,-0.018239631,7.169740487,-0.101264267,0.920530658,9.65E-01,-6.55E+00
CH17-431G21.1,-0.143966215,-1.480105229,-0.101552788,0.920305057,0.964444885,-5.401674718
QRSL1,-0.012761154,4.18362921,-0.101956316,0.919989541,0.964277084,-6.498771514
PPP6R3,-0.012137309,7.22246914,-0.102018327,0.919941056,0.964277084,-6.548658799
SYT17,-0.022341221,4.197974019,-0.102474719,0.919584224,9.64E-01,-6.50E+00
LARP1B,-0.022993122,5.034189255,-0.103461797,0.918812535,9.63E-01,-6.60E+00
TP53RK,-0.01541261,4.92025762,-0.103707597,0.918620382,9.63E-01,-6.59E+00
PPARA,-0.012101268,5.831749587,-0.103905887,0.918465376,0.963221871,-6.623273757
HSPE1P11,-0.04167622,0.888605798,-0.104536242,0.917972637,9.63E-01,-5.82E+00
ITIH6,-0.091255178,-0.046079334,-0.104564578,0.917950487,9.63E-01,-5.64E+00
EIF1AY,-0.103929788,2.07129862,-0.105429867,0.917274163,0.962349689,-6.053370359
TRPM7,-0.018519094,6.871882481,-0.105742315,0.917029964,9.62E-01,-6.58E+00
FRMD4A,-0.020299754,5.648400285,-0.10598499,0.916840304,0.962150133,-6.623148779
RPL7,-0.02495819,8.820409199,-0.106028949,0.916805948,0.962150133,-6.414656921
PDCD1LG2,-0.026972108,2.813931529,-0.106234592,0.916645234,0.962150133,-6.209271423
LLGL1,-0.019449265,4.5562621,-0.106568534,0.916384261,9.62E-01,-6.55E+00
GLG1,-0.014338632,7.60310672,-0.106652594,0.916318569,0.962150133,-6.517472723
SOCS5,-0.019636206,5.273176355,-0.107001303,0.916046068,0.961931047,-6.613062325
STIL,-0.032001965,3.180413965,-0.107707143,0.915494518,9.62E-01,-6.29E+00
DNAJC15,-0.02681316,5.00589534,-0.107808225,0.915415535,0.961485872,-6.597225815
GRIK3,-0.063670046,1.438714256,-0.108131643,0.91516283,0.961383175,-5.927857161
BIVM-ERCC5,-0.035547563,4.371961458,-0.108300025,0.915031268,9.61E-01,-6.53E+00
SP100,-0.01331508,7.1848911,-0.108737648,0.91468935,0.961102723,-6.550912044
CARD19,-0.017111944,3.868715508,-0.109094787,0.914410328,0.960918016,-6.440173064
POLQ,-0.043473775,2.842590053,-0.109414045,0.914160911,9.61E-01,-6.22E+00
TCEANC,-0.018611387,3.433787402,-0.109806188,0.913854565,0.960605115,-6.348047772
CDCA2,-0.050252638,1.534543051,-0.109831996,0.913834404,9.61E-01,-5.95E+00
C3AR1,-0.038459066,4.447316318,-0.109907804,0.913775184,9.61E-01,-6.54E+00
CCDC174,-0.016926383,4.376124049,-0.109924412,0.913762211,9.61E-01,-6.53E+00
PPP1R16A,-0.034906133,4.614025091,-0.110034885,0.913675912,0.960605115,-6.559850075
