,log2FoldChange,AveExpr,t,pvalue,padj,B
IGHG4,5.784923771,4.251091233,9.418941845,3.84E-08,3.02E-04,8.94E+00
TSHZ2,1.604813459,4.711254296,9.307954452,4.55E-08,0.000302096,8.826096058
PDGFD,2.266042752,3.434459898,9.264585614,4.87E-08,3.02E-04,8.56E+00
IGHV3-66,3.280238187,1.428876102,8.84893256,9.33E-08,0.000398514,7.066578161
IGHV3-23,2.838552303,5.192896794,8.763068303,1.07E-07,3.99E-04,8.04E+00
IGHJ5,3.785622243,1.858060583,8.534369241,1.55E-07,4.80E-04,6.93E+00
IGHV5-51,3.243490755,3.794017523,8.17968145,2.78E-07,6.95E-04,7.05E+00
IGHV3-49,3.22346598,2.263671226,8.124015048,3.05E-07,0.00069497,6.561972886
IGHG2,4.428660565,6.209874696,8.067082152,3.36E-07,6.95E-04,6.94E+00
IGLC1,3.577420704,6.253754221,7.889955438,4.54E-07,0.00084506,6.65114189
SFRP2,3.409360192,5.229569612,7.75523228,5.72E-07,9.45E-04,6.43E+00
IGHV1-46,3.704232874,2.456333596,7.719268264,6.09E-07,0.000944734,6.045599256
IGHV4-59,3.243123592,4.661574294,7.494039788,9.03E-07,0.001120481,5.985606661
IGLV2-8,3.233272972,3.507285136,7.450913001,9.74E-07,0.001120481,5.854378514
ITM2C,1.148582984,4.743586954,7.405558812,1.06E-06,1.12E-03,5.84E+00
IGHG1,4.489331906,8.852581499,7.395252192,1.08E-06,1.12E-03,5.78E+00
IGHV4-39,3.481022973,4.313620585,7.390887368,1.08E-06,0.001120481,5.8056723
DIO2,2.44702857,3.548360445,7.329775389,1.21E-06,1.18E-03,5.66E+00
IGKV1D-39,3.793115843,5.389335988,7.190359242,1.55E-06,0.001443787,5.461251871
IGKC,3.727825116,9.619932216,7.15069185,1.67E-06,1.48E-03,5.35E+00
CRABP2,3.1266237,1.837500317,6.973074882,2.30E-06,0.001804418,4.72603144
IGHV1-69-2,4.85521049,3.641119434,6.967457632,2.33E-06,0.001804418,5.054442961
IGHV2-5,3.335376969,3.253340903,6.937957407,2.46E-06,0.001828618,4.970243992
IGKV1-5,3.619293618,5.053254511,6.830513822,2.99E-06,2.14E-03,4.82E+00
CD27,1.264893479,2.621888129,6.736341355,3.57E-06,0.0023115,4.53759992
IGLV2-11,2.972619106,3.728264577,6.731228386,3.60E-06,0.0023115,4.646829757
IGKV3-15,3.232058624,4.434739866,6.587694136,4.71E-06,2.92E-03,4.39E+00
IGLL5,3.254123384,4.894862319,6.470848226,5.88E-06,0.003531042,4.16878127
