,log2FoldChange,AveExpr,t,pvalue,padj,B
WBP1L,3.367794842,4.984765447,3.74598022,0.004718,0.181524124,-1.766219509
TCERG1,4.806695173,3.389404178,3.745424466,0.004722006,0.181524124,-1.776795557
PIEZO1,3.267887856,5.555977834,3.739501002,0.004764927,0.181524124,-1.780290054
TSPYL2,3.349735549,5.354192276,3.738385746,0.004773054,0.181524124,-1.780752538
ARAP3,4.957153919,3.478419408,3.733819935,0.004806479,1.82E-01,-1.790837339
EDC4,4.709692116,3.352906178,3.731835017,0.004821086,0.181524124,-1.794680445
TXNDC11,4.74555444,3.363178999,3.728633502,0.004844747,0.181627978,-1.798699077
CTGF,4.445520364,4.856972232,3.721466587,0.004898158,0.182019555,-1.798399172
WDR74,4.099263369,3.860340363,3.715155757,0.004945704,0.183250581,-1.811500707
PPP1R13B,4.69379534,3.34181673,3.711595406,0.004972742,0.183716805,-1.820896125
TRAK1,4.677384996,3.335302378,3.703333058,0.005036092,0.184403908,-1.831632973
DLST,3.778561989,4.941372784,3.69974221,0.005063889,0.184403908,-1.829096144
NOP56,3.293201915,5.44302177,3.690392227,0.00513703,0.185198136,-1.84807412
PSMC5,3.27419804,5.257226477,3.671619645,0.005287264,0.187987598,-1.872586513
CKB,3.484895322,4.71743619,3.670615992,0.005295425,0.187987598,-1.866519295
PYCR2,4.625589344,3.313845653,3.659883587,0.005383533,0.188174028,-1.88811765
MAFG,4.857890056,3.407692119,3.647425159,0.005487752,0.189432881,-1.903546338
ADAM15,4.64331344,4.517743123,3.645965905,0.005500097,0.189432881,-1.898861629
PPP1R14B,4.892984978,3.42279492,3.63921578,0.005557586,0.189877025,-1.914134611
TBCD,4.881823594,3.444663348,3.637906492,0.00556881,0.189877025,-1.915679085
MOAP1,4.604914172,3.301044172,3.637447021,0.005572754,0.189877025,-1.917396227
SLC25A4,4.629297748,3.319120443,3.635520578,0.005589324,0.18993241,-1.919760405
PDGFRB,5.13810726,4.91945992,3.62095094,0.005716337,0.191837699,-1.937378364
XAB2,4.588203964,3.298089334,3.620096555,0.005723879,0.191837699,-1.940028343
NDRG1,2.769757021,8.391300909,3.615329644,0.00576615,0.191837699,-2.008415159
SREK1,3.986397462,3.807619242,3.608099807,0.00583089,0.193485076,-1.952447864
PEX5,3.634565642,4.274837667,3.606400049,0.005846222,1.93E-01,-1.952149253
MCAM,3.649825473,6.504217284,3.589346177,0.006002412,0.1967365,-1.994310469
LMBR1L,4.599028332,3.30696873,3.583005162,0.006061601,1.97E-01,-1.988457953
CD2BP2,3.456409363,4.561878252,3.567966577,0.006204443,2.00E-01,-2.01E+00
RPLP0,2.527344353,8.92276975,3.555324865,0.006327255,0.201156502,-2.114119475
MYO9B,3.929392471,4.4035723,3.554546888,0.006334896,0.201156502,-2.022421646
ARFRP1,3.467694077,4.39908774,3.551713444,0.006362807,0.201156502,-2.026250871
NR4A1,3.853091689,6.40131918,3.536334986,0.006516562,0.205126547,-2.068216799
RXRB,4.550469572,3.285055323,3.532751692,0.006552945,0.205126547,-2.054609298
ZC3H7A,3.933460982,3.779735418,3.52565566,0.006625626,0.206892099,-2.061909139
DCHS1,4.531371339,3.275795762,3.524005214,0.006642652,0.206915354,-2.066182736
CYP1A1,3.90199353,3.764354484,3.487463933,0.007031606,2.15E-01,-2.112912166
HERPUD1,3.19082258,5.580210057,3.484799713,0.007060883,0.214681251,-2.138455698
SH3PXD2A,3.394039757,4.674739783,3.461980814,0.007316939,0.219365229,-2.153216803
RRP7A,3.092517411,5.254960167,3.455485207,0.007391594,0.219377397,-2.176702168
TFIP11,4.405565598,3.206867937,3.453875003,0.007410223,0.219377397,-2.159223022
B4GALT3,3.415412433,4.366937824,3.453027026,0.007420053,0.219377397,-2.160750703
PRMT1,3.06708311,6.232676341,3.452656145,0.007424357,0.219377397,-2.185708666
CUL1,3.371517314,4.767445433,3.451850195,0.007433719,0.219377397,-2.169401052
CTTN,3.175316056,5.618576441,3.447042836,0.007489816,0.219377397,-2.192409018
MICAL3,4.374963638,3.196602342,3.446762841,0.007493097,0.219377397,-2.168695515
BLCAP,3.837094017,3.742728866,3.442848548,0.007539122,0.219758499,-2.17271486
CRY2,4.351259074,3.185864622,3.426546628,0.00773401,0.222883294,-2.195587135
MFN2,5.158528861,4.566333074,3.420194132,0.007811375,0.223591804,-2.209067962
CCND1,3.333032895,5.956571035,3.412724073,0.007903387,0.224707258,-2.241652937
THOC6,5.074039029,3.497089033,3.408213956,0.007959488,0.225294296,-2.219435805
STC1,4.156013485,6.954556021,3.401252688,0.008046899,0.225784358,-2.272960226
CRIP1,4.805401312,5.522792815,3.398863958,0.008077124,0.225784358,-2.260899396
DDX42,3.074469593,5.085977936,3.394386379,0.008134101,0.226702389,-2.25926286
PHC2,3.039755243,6.242112709,3.385507575,0.008248329,0.228954735,-2.282036239
MADD,4.329197265,3.170882727,3.383917575,0.008268961,0.228954735,-2.252426482
GAS6,5.35217125,3.677012534,3.37959466,0.008325329,0.230014355,-2.257855251
PRKAB1,4.286006828,3.156120608,3.370614556,0.008443711,0.231701267,-2.270222486
CHMP1A,3.380979302,4.36196887,3.369440944,0.008459311,0.231701267,-2.275734263
STARD10,4.424105791,3.208949909,3.362701092,0.008549489,0.231856051,-2.280738804
RPS28,2.504553049,8.154379291,3.361565369,0.008564783,0.231856051,-2.373454101
C2CD2,4.340872647,3.173692784,3.359875361,0.008587595,0.231856051,-2.284562801
SIVA1,3.573877355,4.000808113,3.348635684,0.008740929,0.234370705,-2.300585058
RANGAP1,4.829707185,4.041367448,3.340178795,0.008858183,0.236463464,-2.312400437
ITPR1,4.264317747,3.148940494,3.338971525,0.008875055,0.236463464,-2.312587467
FZD4,4.539218301,3.287365121,3.336214159,0.008913716,0.236996688,-2.31622751
RRP12,3.684037064,4.904863465,3.323125192,0.009099648,0.238812721,-2.354818296
KLHDC3,3.857712349,3.759367883,3.322053133,0.009115055,0.238812721,-2.33587738
RSAD1,4.230232004,3.127613592,3.319957765,0.009145248,0.238812721,-2.338106083
VPS13D,3.518750727,3.96370622,3.317461811,0.009181348,0.238812721,-2.342945401
PCID2,4.320408725,3.162503903,3.31442747,0.009225435,0.238812721,-2.345527297
NAP1L4,2.969596512,5.196707843,3.313428145,0.009240003,0.238812721,-2.37810922
TMBIM1,2.821720306,6.199286128,3.313360778,0.009240986,0.238812721,-2.385641564
PPP6R2,4.211696463,3.122018094,3.306936676,0.009335221,0.240164618,-2.355597205
PXDN,3.765050409,5.692711546,3.303500884,0.009386031,0.240983967,-2.398798003
GATA2,4.334353741,3.18832318,3.292725398,0.00954726,0.243158584,-2.374738336
ZFAND2B,4.251287188,3.14643907,3.288180033,0.009616134,0.244422897,-2.3808387
AKAP17A,4.184464185,3.107442271,3.284422106,0.009673467,0.245157398,-2.385880159
SIN3B,3.767696552,3.714814139,3.282117691,0.0097088,0.245306443,-2.390073766
XPC,4.178118575,3.103688874,3.277048193,0.009787004,0.246303034,-2.39580918
PPP3R1,3.351216256,4.147702472,3.275066979,0.009817745,0.246422789,-2.402899526
MYO1D,4.212385519,3.127019561,3.274244137,0.009830542,2.46E-01,-2.3996048
RBFOX2,3.128216483,4.534007177,3.271923495,0.009866726,0.246842957,-2.415322025
SGSM2,4.26160727,3.153097013,3.265721396,0.009964114,0.248028673,-2.411125999
KDM1A,3.350194793,4.138207362,3.261816479,0.010025943,0.248028673,-2.421062259
ZSWIM8,4.24016374,3.125812123,3.260943265,0.010039824,0.248028673,-2.417545267
ABLIM1,2.962847624,5.495119452,3.260937674,0.010039913,0.248028673,-2.459301367
KCTD10,2.997005266,5.21513649,3.260614042,0.010045063,0.248028673,-2.454640722
EIF2B5,3.268558103,4.294275876,3.25600983,0.010118624,0.248028673,-2.431760356
TRPC4AP,3.083477541,4.626771138,3.253304662,0.010162105,0.248028673,-2.44434171
PCDH1,3.972049985,4.665922737,3.251591995,0.010189734,0.248028673,-2.448062397
SPRED1,4.145271934,3.090794287,3.251464322,0.010191796,0.248028673,-2.430298933
RGS3,3.069355375,4.726938965,3.248438126,0.010240817,0.248028673,-2.454641671
FAM160B2,4.219623237,3.13292355,3.243974671,0.010313567,0.248970909,-2.440475658
ENTPD6,4.169215732,3.095678579,3.242272783,0.010341447,0.248970909,-2.442719179
ASB1,4.143159079,3.086208461,3.242142408,0.010343586,0.248970909,-2.442881519
ADCY6,4.147621411,3.09519537,3.237881397,0.01041375,0.249243599,-2.448652988
ENO2,4.387528651,4.570005455,3.236166407,0.010442129,0.249453052,-2.466707023
FARP1,3.143212201,4.545408399,3.23429839,0.010473133,0.249724282,-2.468570845
ZNF451,4.226260389,3.118078813,3.22783029,0.010581224,0.2508895,-2.462287548
PQLC1,4.277461789,3.163460477,3.215566232,0.010789369,0.253938636,-2.478997535
DAPK3,4.675956374,3.978898053,3.212094778,0.010849055,0.254862558,-2.487711315
CTDSP2,2.894225467,5.97457879,3.208387763,0.010913171,0.255107259,-2.536641271
GRB10,3.029924953,5.262248083,3.208012068,0.010919691,0.255107259,-2.53210326
ADAMTS2,4.093270781,3.062860402,3.199478644,0.011068875,0.258118044,-2.500565602
GJA4,3.379031486,4.779086383,3.198153963,0.011092223,0.258188753,-2.528127478
SEMA4C,2.994468793,4.696608422,3.194427252,0.011158181,0.258716391,-2.530253164
EIF4E2,4.076231318,3.057395342,3.193433626,0.011175836,0.258716391,-2.508746307
CC2D1B,4.101120789,3.064456631,3.190585052,0.01122661,0.258716391,-2.512627337
XRCC6,2.678687057,6.680357423,3.187472573,0.011282362,0.258822264,-2.577386981
SH3PXD2B,4.113650487,3.068459916,3.180853402,0.011401884,0.260426918,-2.525843037
SKIV2L,4.082159738,3.065464296,3.177998903,0.011453832,0.260426918,-2.529709519
ARHGAP10,4.165186187,3.109018749,3.177187568,0.011468642,0.260426918,-2.53094401
LCN10,4.350061279,3.200568564,3.176825414,0.01147526,0.260426918,-2.531739293
MGLL,2.695087504,6.136192907,3.160364455,0.011780248,0.264874861,-2.607300315
SERTAD1,2.702369259,6.140985734,3.158195367,0.011821059,0.264874861,-2.610503981
EIF3G,2.900779272,5.660818367,3.154385799,0.01189309,0.264874861,-2.615204828
FIBP,3.394689522,3.915587339,3.154343259,0.011893897,0.264874861,-2.566778976
PLEKHO2,3.340330797,5.888968245,3.153994907,0.011900507,0.264874861,-2.615802684
SNHG15,3.101512004,5.843986266,3.146497205,0.012043699,0.265843516,-2.626760605
BCOR,4.213839329,3.108725784,3.143958223,0.012092592,0.265843516,-2.576156147
AGAP3,3.235707793,4.09237161,3.14021022,0.012165143,0.265843516,-2.588974267
ABLIM3,3.833533919,4.37161385,3.138640694,0.012195659,0.265843516,-2.597943569
QARS,3.346853776,4.516680514,3.135248854,0.012261876,0.265843516,-2.607539081
BCR,4.040286247,3.856059359,3.132574127,0.012314356,0.265843516,-2.596206416
NEBL,4.038612255,3.046330194,3.131831646,0.012328966,0.265843516,-2.5924278
MFNG,4.29951692,3.177592036,3.12936833,0.012377563,0.265843516,-2.596347284
ERCC1,3.161646617,4.6581657,3.12628722,0.012438628,0.265843516,-2.62575186
NASP,2.666795335,5.62858565,3.125553562,0.012453214,0.265843516,-2.657123614
VPS28,2.969806821,4.87717404,3.124918885,0.012465847,0.265843516,-2.637223698
GLT8D1,4.006650091,3.029240457,3.123980695,0.012484545,0.265843516,-2.60305399
TMEM109,3.135474392,4.778768273,3.123683037,0.012490484,0.265843516,-2.634614443
PLEKHM1,4.161217839,3.085021741,3.122791351,0.012508291,0.265843516,-2.604912125
RPS3A,2.332450293,8.625006975,3.120320952,0.012557762,0.265843516,-2.758301183
DST,2.841643861,5.271253922,3.118665894,0.012591019,0.265843516,-2.662084287
DTX4,4.144684495,3.07768042,3.117890655,0.012606629,0.265843516,-2.611565018
RAPGEF1,2.706063487,5.360760761,3.117630526,0.012611871,0.265843516,-2.665650436
MFAP1,4.129331485,3.070995718,3.115652354,0.012651808,0.265843516,-2.614588928
GADD45B,2.362879525,9.960449826,3.114821975,0.012668612,0.265843516,-2.794333482
HBP1,3.733135942,3.675641972,3.114289805,0.012679393,0.265843516,-2.619987537
MAT2A,2.765255156,6.84921103,3.112283515,0.012720124,0.265843516,-2.692911723
TMEM208,3.387600871,3.897444773,3.111173602,0.012742715,0.265843516,-2.626323902
APH1A,2.939720681,5.27230174,3.110334611,0.012759819,0.265843516,-2.67424564
INPP5A,4.484750034,3.267762253,3.109221234,0.012782554,0.265881311,-2.624359661
RAPGEF3,4.495078812,3.2728396,3.105713771,0.01285445,0.266552272,-2.629192991
LUZP1,3.375251184,4.336698591,3.105601486,0.012856758,0.266552272,-2.643403032
PPIG,3.478211667,3.570891085,3.098400936,0.013005696,0.267892046,-2.641139359
PXDC1,3.135903428,4.878958689,3.096726995,0.013040575,0.267937419,-2.677903372
DDX39A,2.90939724,4.990382849,3.091683623,0.013146247,0.269476867,-2.690354913
PRKY,3.958803918,3.000443375,3.088324622,0.013217118,0.270047877,-2.651562887
PPP1R16B,3.995883908,3.027425932,3.086880392,0.013247711,0.270047877,-2.653663558
ATRX,3.961471455,3.00091601,3.086409954,0.013257692,0.270047877,-2.654179556
FAM118A,4.140706487,3.074424148,3.084927168,0.013289202,0.270047877,-2.656574143
CHFR,3.945649803,2.997454707,3.084088293,0.013307063,0.270047877,-2.657333727
GNL2,3.115742454,4.634967334,3.083080002,0.013328564,0.270047877,-2.686437337
RNMT,4.340042885,3.161908192,3.08235285,0.013344092,0.270047877,-2.660570351
HEXA,3.041744208,4.354366552,3.08005169,0.013393356,0.270613931,-2.679992393
AMFR,3.161982372,4.054183439,3.078668456,0.013423059,0.270783586,-2.674018769
SPRYD3,3.296027098,3.866877858,3.076107691,0.013478228,0.271425834,-2.674558666
COL12A1,3.477050713,3.935213323,3.071835638,0.013570787,0.271425834,-2.681482332
RPS6KA2,2.747423926,5.673179946,3.0700426,0.01360983,0.271425834,-2.738571535
STAT5A,2.936772018,5.655110582,3.067281971,0.01367017,0.271425834,-2.742516993
CIRBP,3.014230436,6.752582679,3.061968205,0.013787093,0.271425834,-2.76411471
HDAC7,2.895957425,4.746535463,3.061914092,0.013788289,0.271425834,-2.721792577
RNF31,3.95290616,3.006466183,3.061708521,0.013792833,0.271425834,-2.6879698
METTL3,3.926427037,2.985001382,3.059812888,0.013834812,0.271425834,-2.69044919
CDK9,3.081061506,4.51809048,3.058931232,0.013854381,0.271425834,-2.715966328
ROBO4,2.889147274,5.912050495,3.05382871,0.013968199,0.271946832,-2.762285323
USP7,2.789997128,5.239613926,3.053790374,0.013969058,2.72E-01,-2.76E+00
GALNT18,3.392552307,3.919146873,3.047330133,0.014114556,0.273056989,-2.715349926
EIF2B4,3.241183788,3.8375096,3.046618522,0.014130678,0.273056989,-2.715196047
SLC25A29,4.199466087,3.131717158,3.044714151,0.014173918,0.273056989,-2.71200141
CCDC85B,5.024071177,4.788330079,3.044432941,0.014180314,0.273056989,-2.748941312
CTCF,3.896414555,2.974727354,3.042773347,0.014218124,0.273145383,-2.713708687
EXOSC7,3.905471611,2.975019533,3.041400519,0.01424948,0.273147274,-2.715589912
CTR9,4.011030788,3.016443394,3.035854444,0.014376881,0.273473702,-2.723428759
LETM1,3.908447304,2.975099653,3.035599107,0.014382775,0.273473702,-2.723534969
NCAPH2,4.003601469,3.03501395,3.0349539,0.014397679,0.273473702,-2.724776635
MEDAG,2.954438465,5.979686811,3.03354971,0.014430169,0.273473702,-2.792115135
ATP6V0A1,3.102589354,4.369685929,3.03318355,0.014438654,0.273473702,-2.746797606
GET4,3.397132791,3.530410703,3.03208238,0.014464202,0.273549908,-2.732402236
KANK2,3.869644467,4.417571418,3.027809777,0.01456377,0.275023703,-2.756192564
HMOX1,2.671941476,8.380738328,3.026235979,0.014600623,0.275310569,-2.889214059
AIP,4.368164064,3.868601717,3.022088716,0.014698201,0.275656416,-2.749708766
PPP1CA,2.825748762,4.704420761,3.020685368,0.014731371,0.275656416,-2.779050288
DNAJC7,3.283734218,3.848549909,3.020284985,0.014740849,0.275656416,-2.751959118
FDPS,2.915669931,4.550267406,3.020020425,0.014747115,0.275656416,-2.772813005
EEF1A1,1.999766783,11.14894583,3.019180532,0.014767026,0.275656416,-2.968238031
NDUFA11,2.921475023,5.460978302,3.017579528,0.014805056,0.275656416,-2.813731493
SLC25A3,2.396804854,7.272125173,3.017196349,0.014814174,0.275656416,-2.848823993
CLDN5,4.092058465,5.890557456,3.014870177,0.014869646,0.276284101,-2.819469489
TSR1,3.940423978,2.985292152,3.010065408,0.014984903,0.277397903,-2.758602788
SLC9A1,3.973933985,2.999194063,3.008937041,0.015012104,0.277397903,-2.760240944
SNAI1,3.096173737,4.020084498,3.00687842,0.01506186,0.277397903,-2.773638849
MEF2D,3.191213983,4.949453515,3.005726681,0.015089772,0.277397903,-2.813003933
EFNB1,3.117191682,4.652900145,3.005589026,0.015093111,0.277397903,-2.79821935
ITPA,3.910302735,2.98863729,3.005131937,0.015104206,0.277397903,-2.765394982
ULK3,3.888524482,2.977275555,3.001308272,0.015197343,0.278431108,-2.77056805
LRRFIP1,2.731359323,5.309767301,2.997376726,0.015293726,0.278676767,-2.840268821
SMPD4,3.838532594,2.949423885,2.990993593,0.015451551,0.28053395,-2.784538264
BCAR1,2.923909592,4.42353021,2.987605864,0.015535994,0.280753085,-2.813573337
F2RL3,3.984912467,3.028350592,2.983545643,0.015637826,0.281262065,-2.795326245
EBNA1BP2,3.108690516,4.628856648,2.983116782,0.015648622,0.281262065,-2.829304041
MPHOSPH10,3.841114129,2.944058827,2.982968303,0.015652362,0.281262065,-2.795520697
BSDC1,2.9971173,4.167816052,2.981250499,0.015695693,0.281262065,-2.813443651
MLXIP,3.841377463,2.943791353,2.980626316,0.015711468,0.281262065,-2.798735486
SNX11,3.835850619,2.94171202,2.979323413,0.01574445,0.281262065,-2.800510371
SLC35A4,2.898523297,4.542776063,2.977230157,0.015797588,0.281262065,-2.833639516
TGFBR2,2.522502291,6.581757202,2.97687563,0.015806606,0.281262065,-2.884727463
SELENBP1,3.446332574,4.40717549,2.976591653,0.015813833,0.281262065,-2.828576335
TMEM255B,3.844943669,2.956240325,2.973001011,0.015905509,0.281262065,-2.809302552
UBE2J2,3.184718085,3.812237463,2.972307465,0.01592328,0.281262065,-2.818390477
ZDHHC7,3.070787417,4.006348291,2.971878788,0.015934274,0.281262065,-2.822350015
USF1,2.837890176,4.617684077,2.969741062,0.015989216,0.28184042,-2.847956368
DLL1,3.807166427,2.933494587,2.967851184,0.01603795,0.282137492,-2.81621357
UBXN1,2.558650845,5.742432453,2.967366664,0.016050469,0.282137492,-2.889352048
CCDC130,3.813936968,2.939392553,2.96445809,0.016125831,0.282661672,-2.820921171
CTPS1,3.497423621,3.56530684,2.962788573,0.016169253,0.282661672,-2.828813746
FXYD6,3.370949529,5.035511616,2.960541195,0.016227894,0.283297126,-2.882938636
SSH1,2.601613572,6.296342889,2.958597372,0.016278791,0.283756788,-2.905168945
TPRG1L,4.253181244,3.816700973,2.9578319,0.016298879,0.283756788,-2.83865423
PCDH12,3.313051059,3.48928023,2.95413258,0.016396319,0.2841812,-2.840050953
WDR37,3.79610097,2.924641489,2.953877862,0.01640305,0.2841812,-2.8353573
DPP7,2.966335299,4.319315163,2.953185571,0.016421359,0.2841812,-2.858336456
ARPC1B,2.701097237,6.405288396,2.953076864,0.016424236,0.2841812,-2.915389892
TTL,3.311711319,3.489563556,2.949934277,0.016507627,0.2841812,-2.845883732
HEXB,2.749765192,4.83296333,2.949034365,0.016531587,0.2841812,-2.889128881
TAF1,3.785117682,2.92032126,2.947417453,0.016574727,0.2841812,-2.844209577
POLDIP3,2.754777549,4.834848876,2.944543969,0.016651678,0.2841812,-2.895742874
HARS2,3.793902069,2.93071895,2.944161572,0.016661946,0.2841812,-2.848770494
TBC1D9,3.304948488,3.486238169,2.943834766,0.016670727,0.2841812,-2.854320871
MICAL1,3.411398603,3.932158981,2.943758158,0.016672786,2.84E-01,-2.860286876
UTP6,3.130220142,4.028436001,2.943451617,0.016681027,0.2841812,-2.862808
MAP4,2.691772491,6.139792697,2.940609797,0.01675763,0.284342746,-2.929682407
GRPEL2,4.534481105,3.244489022,2.938009121,0.016828049,0.284777191,-2.859974691
USP22,2.694817403,5.337957221,2.935520956,0.016895706,0.285358439,-2.931806437
TUBA1C,2.912532827,6.815270026,2.934676782,0.016918723,0.285358439,-2.954738465
C1QBP,4.194912568,3.780746167,2.933450805,0.016952209,0.285358439,-2.872224159
DUSP1,2.558601436,8.173263257,2.930903206,0.01702201,0.285365744,-3.022758899
DNAJB2,2.777310703,4.85774624,2.930194374,0.017041484,0.285365744,-2.917780804
ZMYM2,3.201636877,3.808434477,2.929013352,0.01707398,0.285365744,-2.878809801
EDC3,3.783386835,2.926873508,2.928389007,0.017091185,0.285365744,-2.870451726
ASL,3.348539741,3.512411024,2.926613524,0.017140209,0.285365744,-2.878541405
PDE2A,3.711908254,3.697784651,2.925117355,0.017181633,0.285365744,-2.882768828
MEPCE,4.368357595,4.12752756,2.924815584,0.017190001,0.285365744,-2.89178278
WIPI1,3.187102568,3.801755595,2.921180592,0.01729112,0.285365744,-2.889668479
SCYL1,3.501658745,4.227992567,2.920754896,0.017303002,0.285365744,-2.900913303
LZTR1,3.92159953,2.999742699,2.919804296,0.017329566,0.285365744,-2.882896691
SGTA,2.897452229,4.422308014,2.919007765,0.017351856,0.285365744,-2.911280834
