"","X","log2FoldChange","AveExpr","t","pvalue","padj","B"
"68","FFAR2",-7.553412009,6.120603328,-8.60203008,1.37e-05,0.010882618,3.034690607
"69","OLR1",-6.944830533,7.934140411,-8.615148287,1.35e-05,0.010882618,3.291952199
"70","CCL4",-8.992359839,9.921173079,-8.686483403,1.27e-05,0.010882618,3.509301088
"71","FDCSP",-11.61084347,1.348271515,-8.725302009,1.22e-05,0.010882618,2.253924353
"72","IL2RG",-7.606192234,9.13160651,-8.887350137,1.05e-05,0.010882618,3.628599468
"73","BCL2A1",-6.594757986,9.272788206,-9.173366266,8.17e-06,0.009438082,3.834354801
"74","ST20",-8.678633726,5.354794677,-9.262878888,7.55e-06,0.009438082,3.411660959
"75","IFITM2",-6.788648911,12.24219556,-9.309184449,7.25e-06,0.009438082,4.053322765
"76","ALOX5AP",-6.419977228,9.105148359,-9.365961867,6.9e-06,0.009438082,3.9572143
"77","PLEK",-6.85420185,8.99444575,-9.577433642,5.76e-06,0.009438082,4.088772162
"78","CCL8",-7.470137724,8.311272914,-9.600725232,5.64e-06,0.009438082,4.009966508
"79","RNASE2",-11.60762764,0.706060806,-9.62929564,5.51e-06,0.009438082,2.628101049
"80","CLEC4E",-8.02219431,7.559306552,-10.28303041,3.22e-06,0.009438082,4.239339723
"81","FCER1G",-7.276626758,10.63345916,-10.45045532,2.82e-06,0.009438082,4.719471281
"82","IFI6",-7.297520899,10.10453629,-11.02128711,1.81e-06,0.009438082,4.996839143
"83","SELL",-9.199204391,8.538652082,-11.42799311,1.34e-06,0.009438082,5.058700993
