"","X","log2FoldChange","AveExpr","t","pvalue","padj","B"
"61","TNS1",3.333297509,7.38521037,3.833840121,0.004127712,0.170872806,-1.664227358
"62","BAP1",4.920646763,3.456798465,3.832165208,0.004138203,0.170872806,-1.664909573
"63","TUBA4A",4.549317103,4.055472893,3.82957036,0.004154512,0.170872806,-1.659927499
"64","RASA3",3.987031589,4.182541259,3.819224392,0.004220219,0.1724862,-1.671148073
"65","PIK3IP1",4.81348409,3.397849473,3.819120617,0.004220883,0.1724862,-1.682287071
"66","GUCD1",4.868978993,3.431673411,3.812857791,0.004261199,0.173575552,-1.689857501
"67","FBXW5",4.832879505,3.414150463,3.796113146,0.004371001,0.176914158,-1.711472592
"68","ODC1",3.646453735,5.662244777,3.782183846,0.004464621,0.179559692,-1.721375632
"69","MYC",3.923035134,6.306924233,3.768673097,0.004557455,0.181524124,-1.741109225
"70","CIB1",3.336963678,5.350075171,3.76091764,0.004611663,0.181524124,-1.749545362
"71","GGA2",3.585058019,4.614311534,3.756831272,0.004640499,0.181524124,-1.749418456
"72","SASH1",3.409165924,5.003068097,3.750598269,0.004684851,0.181524124,-1.760075459
"73","MAF1",3.888841782,4.41133881,3.749745065,0.004690957,0.181524124,-1.759792408
"74","ARHGEF7",3.622176993,4.474837903,3.747230799,0.004708999,0.181524124,-1.76273056
"75","WBP1L",3.367794842,4.984765447,3.74598022,0.004718,0.181524124,-1.766219509
"76","TCERG1",4.806695173,3.389404178,3.745424466,0.004722006,0.181524124,-1.776795557
"77","PIEZO1",3.267887856,5.555977834,3.739501002,0.004764927,0.181524124,-1.780290054
"78","TSPYL2",3.349735549,5.354192276,3.738385746,0.004773054,0.181524124,-1.780752538
"79","ARAP3",4.957153919,3.478419408,3.733819935,0.004806479,0.182,-1.790837339
"80","EDC4",4.709692116,3.352906178,3.731835017,0.004821086,0.181524124,-1.794680445
"81","TXNDC11",4.74555444,3.363178999,3.728633502,0.004844747,0.181627978,-1.798699077
"82","CTGF",4.445520364,4.856972232,3.721466587,0.004898158,0.182019555,-1.798399172
"83","WDR74",4.099263369,3.860340363,3.715155757,0.004945704,0.183250581,-1.811500707
"84","PPP1R13B",4.69379534,3.34181673,3.711595406,0.004972742,0.183716805,-1.820896125
"85","TRAK1",4.677384996,3.335302378,3.703333058,0.005036092,0.184403908,-1.831632973
"86","DLST",3.778561989,4.941372784,3.69974221,0.005063889,0.184403908,-1.829096144
"87","NOP56",3.293201915,5.44302177,3.690392227,0.00513703,0.185198136,-1.84807412
"88","PSMC5",3.27419804,5.257226477,3.671619645,0.005287264,0.187987598,-1.872586513
"89","CKB",3.484895322,4.71743619,3.670615992,0.005295425,0.187987598,-1.866519295
"90","PYCR2",4.625589344,3.313845653,3.659883587,0.005383533,0.188174028,-1.88811765
"91","MAFG",4.857890056,3.407692119,3.647425159,0.005487752,0.189432881,-1.903546338
"92","ADAM15",4.64331344,4.517743123,3.645965905,0.005500097,0.189432881,-1.898861629
"93","PPP1R14B",4.892984978,3.42279492,3.63921578,0.005557586,0.189877025,-1.914134611
"94","TBCD",4.881823594,3.444663348,3.637906492,0.00556881,0.189877025,-1.915679085
"95","MOAP1",4.604914172,3.301044172,3.637447021,0.005572754,0.189877025,-1.917396227
"96","SLC25A4",4.629297748,3.319120443,3.635520578,0.005589324,0.18993241,-1.919760405
"97","PDGFRB",5.13810726,4.91945992,3.62095094,0.005716337,0.191837699,-1.937378364
"98","XAB2",4.588203964,3.298089334,3.620096555,0.005723879,0.191837699,-1.940028343
"99","NDRG1",2.769757021,8.391300909,3.615329644,0.00576615,0.191837699,-2.008415159
"100","SREK1",3.986397462,3.807619242,3.608099807,0.00583089,0.193485076,-1.952447864
"101","PEX5",3.634565642,4.274837667,3.606400049,0.005846222,0.193,-1.952149253
"102","MCAM",3.649825473,6.504217284,3.589346177,0.006002412,0.1967365,-1.994310469
"103","LMBR1L",4.599028332,3.30696873,3.583005162,0.006061601,0.197,-1.988457953
"104","CD2BP2",3.456409363,4.561878252,3.567966577,0.006204443,0.2,-2.01
"105","RPLP0",2.527344353,8.92276975,3.555324865,0.006327255,0.201156502,-2.114119475
"106","MYO9B",3.929392471,4.4035723,3.554546888,0.006334896,0.201156502,-2.022421646
"107","ARFRP1",3.467694077,4.39908774,3.551713444,0.006362807,0.201156502,-2.026250871
"108","NR4A1",3.853091689,6.40131918,3.536334986,0.006516562,0.205126547,-2.068216799
"109","RXRB",4.550469572,3.285055323,3.532751692,0.006552945,0.205126547,-2.054609298
"110","ZC3H7A",3.933460982,3.779735418,3.52565566,0.006625626,0.206892099,-2.061909139
"111","DCHS1",4.531371339,3.275795762,3.524005214,0.006642652,0.206915354,-2.066182736
"112","CYP1A1",3.90199353,3.764354484,3.487463933,0.007031606,0.215,-2.112912166
"113","HERPUD1",3.19082258,5.580210057,3.484799713,0.007060883,0.214681251,-2.138455698
"114","SH3PXD2A",3.394039757,4.674739783,3.461980814,0.007316939,0.219365229,-2.153216803
"115","RRP7A",3.092517411,5.254960167,3.455485207,0.007391594,0.219377397,-2.176702168
"116","TFIP11",4.405565598,3.206867937,3.453875003,0.007410223,0.219377397,-2.159223022
"117","B4GALT3",3.415412433,4.366937824,3.453027026,0.007420053,0.219377397,-2.160750703
"118","PRMT1",3.06708311,6.232676341,3.452656145,0.007424357,0.219377397,-2.185708666
"119","CUL1",3.371517314,4.767445433,3.451850195,0.007433719,0.219377397,-2.169401052
"120","CTTN",3.175316056,5.618576441,3.447042836,0.007489816,0.219377397,-2.192409018
"121","MICAL3",4.374963638,3.196602342,3.446762841,0.007493097,0.219377397,-2.168695515
"122","BLCAP",3.837094017,3.742728866,3.442848548,0.007539122,0.219758499,-2.17271486
"123","CRY2",4.351259074,3.185864622,3.426546628,0.00773401,0.222883294,-2.195587135
"124","MFN2",5.158528861,4.566333074,3.420194132,0.007811375,0.223591804,-2.209067962
"125","CCND1",3.333032895,5.956571035,3.412724073,0.007903387,0.224707258,-2.241652937
"126","THOC6",5.074039029,3.497089033,3.408213956,0.007959488,0.225294296,-2.219435805
"127","STC1",4.156013485,6.954556021,3.401252688,0.008046899,0.225784358,-2.272960226
"128","CRIP1",4.805401312,5.522792815,3.398863958,0.008077124,0.225784358,-2.260899396
"129","DDX42",3.074469593,5.085977936,3.394386379,0.008134101,0.226702389,-2.25926286
"130","PHC2",3.039755243,6.242112709,3.385507575,0.008248329,0.228954735,-2.282036239
"131","MADD",4.329197265,3.170882727,3.383917575,0.008268961,0.228954735,-2.252426482
"132","GAS6",5.35217125,3.677012534,3.37959466,0.008325329,0.230014355,-2.257855251
"133","PRKAB1",4.286006828,3.156120608,3.370614556,0.008443711,0.231701267,-2.270222486
"134","CHMP1A",3.380979302,4.36196887,3.369440944,0.008459311,0.231701267,-2.275734263
"135","STARD10",4.424105791,3.208949909,3.362701092,0.008549489,0.231856051,-2.280738804
"136","RPS28",2.504553049,8.154379291,3.361565369,0.008564783,0.231856051,-2.373454101
"137","C2CD2",4.340872647,3.173692784,3.359875361,0.008587595,0.231856051,-2.284562801
"138","SIVA1",3.573877355,4.000808113,3.348635684,0.008740929,0.234370705,-2.300585058
"139","RANGAP1",4.829707185,4.041367448,3.340178795,0.008858183,0.236463464,-2.312400437
"140","ITPR1",4.264317747,3.148940494,3.338971525,0.008875055,0.236463464,-2.312587467
"141","FZD4",4.539218301,3.287365121,3.336214159,0.008913716,0.236996688,-2.31622751
"142","RRP12",3.684037064,4.904863465,3.323125192,0.009099648,0.238812721,-2.354818296
"143","KLHDC3",3.857712349,3.759367883,3.322053133,0.009115055,0.238812721,-2.33587738
"144","RSAD1",4.230232004,3.127613592,3.319957765,0.009145248,0.238812721,-2.338106083
"145","VPS13D",3.518750727,3.96370622,3.317461811,0.009181348,0.238812721,-2.342945401
"146","PCID2",4.320408725,3.162503903,3.31442747,0.009225435,0.238812721,-2.345527297
"147","NAP1L4",2.969596512,5.196707843,3.313428145,0.009240003,0.238812721,-2.37810922
"148","TMBIM1",2.821720306,6.199286128,3.313360778,0.009240986,0.238812721,-2.385641564
"149","PPP6R2",4.211696463,3.122018094,3.306936676,0.009335221,0.240164618,-2.355597205
"150","PXDN",3.765050409,5.692711546,3.303500884,0.009386031,0.240983967,-2.398798003
"151","GATA2",4.334353741,3.18832318,3.292725398,0.00954726,0.243158584,-2.374738336
"152","ZFAND2B",4.251287188,3.14643907,3.288180033,0.009616134,0.244422897,-2.3808387
"153","AKAP17A",4.184464185,3.107442271,3.284422106,0.009673467,0.245157398,-2.385880159
"154","SIN3B",3.767696552,3.714814139,3.282117691,0.0097088,0.245306443,-2.390073766
"155","XPC",4.178118575,3.103688874,3.277048193,0.009787004,0.246303034,-2.39580918
"156","PPP3R1",3.351216256,4.147702472,3.275066979,0.009817745,0.246422789,-2.402899526
"157","MYO1D",4.212385519,3.127019561,3.274244137,0.009830542,0.246,-2.3996048
"158","RBFOX2",3.128216483,4.534007177,3.271923495,0.009866726,0.246842957,-2.415322025
"159","SGSM2",4.26160727,3.153097013,3.265721396,0.009964114,0.248028673,-2.411125999
"160","KDM1A",3.350194793,4.138207362,3.261816479,0.010025943,0.248028673,-2.421062259
"161","ZSWIM8",4.24016374,3.125812123,3.260943265,0.010039824,0.248028673,-2.417545267
